Company Name,State,Data Year,Utility Specific Residual Mix Emissions Rate (lbs CO2/MWh),Utility Average Emissions Rate (lbs CO2/MWh),Protocol,Emissions Certified- EPA Part 75 ,Emission Totals and Intensity Rates: Third-Party Verified
Exelon Atlantic City Electric,NJ,2022,765,811,WRI/WBCSD,Yes,ISO 14001
Exelon Baltimore Gas and Electric,MD,2021,746,843,Other,Yes,ISO 14001
Exelon Baltimore Gas and Electric,MD,2022,737,811,WRI/WBCSD,Yes,ISO 14001
Exelon ComEd,IL,2021,729,843,Other,Yes,ISO 14001
Exelon ComEd,IL,2022,736,811,WRI/WBCSD,Yes,ISO 14001
Exelon Delmarva Power,DE,2021,800,843,Other,Yes,ISO 14001
Exelon Delmarva Power,DE,2022,791,811,WRI/WBCSD,Yes,ISO 14001
Exelon Delmarva Power,MD,2021,692,843,Other,Yes,ISO 14001
Exelon Delmarva Power,MD,2022,681,811,WRI/WBCSD,Yes,ISO 14001
Exelon PECO,PA,2021,896,843,Other,Yes,ISO 14001
Exelon PECO,PA,2022,868,811,WRI/WBCSD,Yes,ISO 14001
Exelon PEPCO,DC,2021,764,843,Other,Yes,ISO 14001
Exelon PEPCO,DC,2022,686,811,WRI/WBCSD,Yes,ISO 14001
Exelon PEPCO,MD,2021,743,843,Other,Yes,ISO 14001
Exelon PEPCO,MD,2022,735,811,WRI/WBCSD,Yes,ISO 14001
First Energy Corp Jersey Central Power and Light,NJ,2021,983,983,WRI/WBCSD,--,No
First Energy Corp Jersey Central Power and Light,NJ,2022,810.8353,810.8353,WRI/WBCSD,--,No
First Energy Corp Met-Ed,PA,2021,983,983,WRI/WBCSD,--,No
First Energy Corp Met-Ed,PA,2022,810.8353,810.8353,WRI/WBCSD,--,No
First Energy Corp Mon Power,WV,2021,983,983,WRI/WBCSD,--,No
First Energy Corp Mon Power,WV,2022,810.8353,810.8353,WRI/WBCSD,--,No
First Energy Corp Ohio Edison,OH,2021,983,983,WRI/WBCSD,--,No
First Energy Corp Ohio Edison,OH,2022,810.8353,810.8353,WRI/WBCSD,--,No
First Energy Corp Penelec,PA,2021,983,983,WRI/WBCSD,--,No
First Energy Corp Penelec,PA,2022,810.8353,810.8353,WRI/WBCSD,--,No
First Energy Corp Penn Power,PA,2021,983,983,WRI/WBCSD,--,No
First Energy Corp Penn Power,PA,2022,810.8353,810.8353,WRI/WBCSD,--,No
First Energy Corp Potomac Edison,MD,2021,983,983,WRI/WBCSD,--,No
First Energy Corp Potomac Edison,PA,2022,810.8353,810.8353,WRI/WBCSD,--,No
First Energy Corp The Illuminating Company,OH,2021,983,983,WRI/WBCSD,--,No
First Energy Corp The Illuminating Company,OH,2022,810.8353,810.8353,WRI/WBCSD,--,No
First Energy Corp Toledo Edison,OH,2021,983,983,WRI/WBCSD,--,No
First Energy Corp Toledo Edison,OH,2022,810.8353,810.8353,WRI/WBCSD,--,No
First Energy Corp West Penn Power,PA,2021,983,983,WRI/WBCSD,--,No
First Energy Corp West Penn Power,PA,2022,810.8353,810.8353,WRI/WBCSD,--,No
Fortis Inc Central Hudson Gas and Electric,NY,2022,--,--,--,--,--
"Hawaiian Electric Industries, Hawaiian Electric Company",HI,2021,,1318,Other,Other,No
"Hawaiian Electric Industries, Hawaiian Electric Company",HI,2022,,1292,Other,Other,No
MGE Energy Madison Gas and Electric Company,WI,2021,1520,1470,--,--,No
MGE Energy Madison Gas and Electric Company,WI,2022,1320,1260,,,No
Next Era Energy Florida Power and Light,FL,2021,659,--,WRI/WBCSD,Yes,Other
Next Era Energy Florida Power and Light,FL,2022,662,--,WRI/WBCSD,Yes,Other
Next Era Energy Gulf Power Company,FL,2021,1014,--,WRI/WBCSD,Yes,Other
NiSource NIPSCO,IN,2022,1397,1188,WRI/WBCSD,Yes,Other
NiSource NIPSCO,IN,2021,1529,1433,WRI/WBCSD,Yes,No
NorthWestern Energy,MT/SD/WY,2022,950.42,950.42,,No - some are,No
Otter Tail Corporation Otter Tail Power Company,MN/SD/ND,2021,1232,1231.6,--,Yes,No
Otter Tail Corporation Otter Tail Power Company,MN/SD/ND,2022,1194.4,1194,--,Yes,No
PG&E Corporation Pacific Gas & Electric Company,CA,2021,99,99,CEC Power Source Disclosure Report,Yes,Yes
PG&E Corporation Pacific Gas & Electric Company,CA,2022,56,56,CEC Power Source Disclosure Report,Yes,No
Pinnacle West Capital Corporation Arizona Public Service Company,AZ,2022,,981,WRI/WBCSD,Yes,No
Pinnacle West Capital Corporation Arizona Public Service Company,AZ,2021,--,959,WRI/WBCSD,Yes,No
PNM Resources PNM,NM,2021,1201,993,Other,Yes,Other
PNM Resources PNM,NM,2022,1061,856,Other,Yes,Other
Portland General Electric Portland General Electric,OR,2021,--,694,Other,Other,Other
Portland General Electric Portland General Electric,OR,2022,--,654,Other,Other,Other
PPL Corporation LG&E and KU Energy,KY,2021,--,1846,Other,Yes,No
PPL Corporation LG&E and KU Energy,KY,2022,--,1860,Other,Yes,No
PPL Corporation PPL Electric Utilities,PA,2021,--,791,Other,Other,No
PPL Corporation PPL Electric Utilities,PA,2022,--,843,Other,--,No
PPL Corporation Rhode Island Energy,RI,2022,--,658,Other,No,No
PSEG Long Island,NY,2022,902.6975191,902.6975191,,No,No
PSEG-Long Island,NY,2021,942,942,--,No,No
Puget Sound Energy Puget Sound Energy,WA,2021,916.8,898.8,The Climate Registry,Yes,No
Puget Sound Energy Puget Sound Energy,WA,2022,883.8,867.3,The Climate Registry,Yes,No
"Sempra, San Diego Gas & Electric",CA,2021,--,--,Other,Yes,No
Southern Company Alabama Power,AL,2021,1160,--,WRI/WBCSD,Yes,No
Southern Company Alabama Power,AL,2022,1216,--,WRI/WBCSD,Yes,No
Southern Company Georgia Power,GA,2021,822,--,WRI/WBCSD,Yes,No
Southern Company Georgia Power,GA,2022,804,--,WRI/WBCSD,Yes,No
Southern Company Mississippi Power,MS,2021,1009,--,WRI/WBCSD,Yes,No
Southern Company Mississippi Power,MS,2022,1008,--,WRI/WBCSD,Yes,No
Tennessee Valley Authority,TN,2021,637.67,637.67,WRI/WBCSD,Yes,Other
Tennessee Valley Authority,TN,2022,658.06,658.06,WRI/WBCSD,--,No
Xcel Energy Northern States Power Company,MI/MN/SD/ND/WI,2022,612,608,The Climate Registry,--,No
Xcel Energy Northern States Power Company,MI/MN/SD/ND/WI,2021,631,627,The Climate Registry,--,No
Xcel Energy Public Service Company of Colorado,CO,2021,1053,1037,The Climate Registry,--,No
Xcel Energy Public Service Company of Colorado,CO,2022,990,986,The Climate Registry,--,No
Xcel Energy Southwestern Public Service Company,NM/TX,2021,1006,1006,The Climate Registry,--,No
Xcel Energy Southwestern Public Service Company,NM/TX,2022,976,976,The Climate Registry,--,No
"Source: EEI, Electric Company CO2 and Resource Mix Database for Corporate Customers ",,0,,,,,
Contact: Adam Cooper and Alex Young (ACooper@eei.org and ayoung@eei.org),,0,,,,,
"Last Updated: July 17, 2023",,0,,,,,
